,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,label
68,0.766086,0.122475,0.027719,0.020653,0.034407,0.033375,0.015725,0.006679,happiness
69,0.687641,0.127568,0.026977,0.017942,0.0314,0.034049,0.018521,0.007064,happiness
70,0.668041,0.116037,0.023988,0.015465,0.031152,0.035352,0.019967,0.007539,happiness
71,0.659009,0.088449,0.022971,0.014978,0.030627,0.035364,0.018592,0.007639,happiness
72,0.54468,0.089957,0.018086,0.012556,0.025516,0.029599,0.01811,0.007638,happiness
73,0.517704,0.09348,0.019845,0.010881,0.025184,0.024796,0.016606,0.007844,happiness
74,0.475056,0.074143,0.01864,0.009379,0.020954,0.022213,0.015305,0.007484,happiness
75,0.520129,0.060968,0.019106,0.010193,0.021242,0.022802,0.01525,0.006775,happiness
76,0.592268,0.094801,0.030345,0.017579,0.054391,0.031529,0.016157,0.00706,happiness
77,0.517462,0.1012,0.0349,0.028095,0.073124,0.050694,0.018125,0.007689,happiness
78,0.641188,0.113246,0.038101,0.031278,0.071907,0.053159,0.018869,0.00867,happiness
79,0.683641,0.118691,0.040365,0.035643,0.074683,0.057987,0.016816,0.009781,happiness
80,0.680722,0.117263,0.041184,0.036138,0.073007,0.057159,0.016663,0.009762,happiness
81,0.659884,0.124305,0.043832,0.045576,0.080215,0.074763,0.018887,0.012011,happiness
82,0.731332,0.127583,0.049954,0.048437,0.082119,0.075139,0.018564,0.010732,happiness
83,0.669444,0.110873,0.047092,0.047295,0.079712,0.074432,0.017816,0.01001,happiness
84,0.721582,0.11624,0.047431,0.047347,0.081916,0.076046,0.019283,0.010642,happiness
85,0.680691,0.130546,0.045986,0.049021,0.082004,0.079039,0.019755,0.011766,happiness
86,0.783253,0.159783,0.058228,0.046127,0.061882,0.104699,0.046972,0.021187,happiness
87,0.819666,0.226958,0.058264,0.074235,0.061241,0.094153,0.06013,0.042265,happiness
88,0.652426,0.213121,0.053187,0.069025,0.058898,0.090942,0.058715,0.042261,happiness
89,0.656872,0.207541,0.050812,0.066545,0.055306,0.084763,0.059069,0.04097,happiness
90,0.880238,0.223819,0.051661,0.072946,0.059429,0.085173,0.058348,0.0422,happiness
91,0.890456,0.214658,0.04741,0.063343,0.050551,0.066129,0.055286,0.039403,happiness
92,0.955347,0.230928,0.049489,0.069097,0.049917,0.06643,0.059119,0.041955,happiness
93,1.011842,0.231927,0.049418,0.070831,0.05324,0.067527,0.059625,0.042393,happiness
94,0.942247,0.239177,0.051629,0.074623,0.05146,0.069064,0.058609,0.042007,happiness
95,1.039618,0.226662,0.049789,0.072061,0.050292,0.065679,0.057195,0.040692,happiness
96,1.005044,0.171788,0.028695,0.068356,0.040336,0.039125,0.034356,0.03355,happiness
97,0.986016,0.13033,0.02341,0.037486,0.02825,0.032885,0.019203,0.011394,happiness
98,1.103997,0.141573,0.023588,0.042564,0.029437,0.033911,0.019413,0.010066,happiness
99,1.085199,0.142229,0.023758,0.043434,0.030253,0.033333,0.01833,0.009744,happiness
100,1.027219,0.163661,0.025694,0.049814,0.032733,0.036766,0.019048,0.009279,happiness
101,1.130751,0.169948,0.026036,0.050311,0.033177,0.037642,0.019352,0.009107,happiness
102,1.099099,0.155275,0.021482,0.044408,0.030974,0.04452,0.0183,0.007993,happiness
103,1.073356,0.168063,0.021944,0.049574,0.041364,0.052746,0.021651,0.008012,happiness
104,1.161672,0.156112,0.019235,0.045933,0.040919,0.049048,0.021115,0.007754,happiness
105,1.050625,0.15588,0.022476,0.048159,0.043375,0.050505,0.022613,0.010029,happiness
106,0.902611,0.146431,0.020373,0.048493,0.040293,0.042725,0.018153,0.007448,happiness
107,0.863192,0.112147,0.019317,0.041118,0.034186,0.035386,0.016522,0.007186,happiness
108,0.785543,0.102442,0.018504,0.035692,0.032132,0.033496,0.015471,0.007203,happiness
109,0.921253,0.122805,0.022976,0.036088,0.036815,0.034727,0.015918,0.007613,happiness
110,0.897184,0.117087,0.024084,0.022832,0.034705,0.030586,0.01596,0.007454,happiness
111,0.808263,0.159694,0.032734,0.036816,0.040638,0.036602,0.032566,0.011317,happiness
112,0.767023,0.241032,0.040531,0.054144,0.069399,0.038734,0.04418,0.019305,happiness
113,0.726751,0.22624,0.04003,0.047432,0.055479,0.029423,0.040202,0.018726,happiness
114,0.644867,0.230974,0.041941,0.051003,0.055275,0.033612,0.042576,0.02098,happiness
115,0.672335,0.227652,0.040433,0.051315,0.059158,0.0334,0.043615,0.020556,happiness
116,0.676425,0.227861,0.040629,0.051373,0.058977,0.035137,0.042531,0.020533,happiness
117,0.727618,0.230456,0.041849,0.053189,0.063103,0.043594,0.04399,0.022182,happiness
118,0.882138,0.231875,0.04432,0.05637,0.073002,0.04669,0.04509,0.022426,happiness
119,0.79954,0.216991,0.039184,0.053747,0.068268,0.045619,0.044269,0.021833,happiness
120,0.664299,0.188928,0.032139,0.053279,0.064242,0.045447,0.043082,0.022585,happiness
121,0.640209,0.143945,0.024206,0.039473,0.059,0.040892,0.027262,0.01933,happiness
122,0.537857,0.053696,0.013364,0.020671,0.034862,0.03239,0.013885,0.01054,happiness
123,0.51775,0.056458,0.014546,0.021444,0.03526,0.034905,0.016024,0.011284,happiness
124,0.620071,0.064051,0.014457,0.019292,0.037117,0.032156,0.015379,0.009747,happiness
125,0.645698,0.070787,0.014503,0.018554,0.03158,0.029403,0.012564,0.007841,happiness
126,0.789181,0.073646,0.018198,0.022183,0.033806,0.032437,0.015559,0.009451,happiness
127,0.83379,0.304613,0.027744,0.102107,0.128019,0.147197,0.025763,0.011517,happiness
